media_id,media_type,status,status_reason,source_name,organization,title,url,thumbnail_url,thumbnail_resolution,segment,hypothesis,view_count,like_count,comment_count,like_rate_pct,comment_rate_pct,category,relevance_score,reliability_score,authenticity_score,text_summary,scraped_at
video_029_aSIL1uiy9i4,video,include,,Bengaluru Starts Free Electric Feeder Bus Service to Electronic City for IT Employees.,klm Institute,Bengaluru Starts Free Electric Feeder Bus Service to Electronic City for IT Employees.,https://www.youtube.com/watch?v=aSIL1uiy9i4,https://img.youtube.com/vi/aSIL1uiy9i4/maxresdefault.jpg,maxresdefault,Employee Transport,H1,278,2,,0.719,,Video - YouTube,,,80,"YouTube video: ""Bengaluru Starts Free Electric Feeder Bus Service to Electronic City for IT Employees."" by klm Institute. Segment: Employee Transport; hypothesis H1. Engagement: 278 views, 2 likes (like rate 0.719%).",2026-07-18T09:32:42.925838+00:00
video_030_NEX__KYRxDo,video,include,,2025 Cheap Price Kama Mini EV Bus Electric City Buses 18 Seats Passengers Minibus Ev Van,KAMA AUTO,2025 Cheap Price Kama Mini EV Bus Electric City Buses 18 Seats Passengers Minibus Ev Van,https://www.youtube.com/watch?v=NEX__KYRxDo,https://img.youtube.com/vi/NEX__KYRxDo/hqdefault.jpg,hqdefault,Employee Transport,H1,48281,376,29,0.779,0.06,Video - YouTube,,,80,"YouTube video: ""2025 Cheap Price Kama Mini EV Bus Electric City Buses 18 Seats Passengers Minibus Ev Van"" by KAMA AUTO. Segment: Employee Transport; hypothesis H1. Engagement: 48,281 views, 376 likes, 29 comments (like rate 0.779%).",2026-07-18T09:32:42.925838+00:00
video_031_2BPsb5bsjY8,video,include,,NVS Travel Solutions launches India’s First-Ever Private EV Bus for Employee Transfers,Bangalore News Network,NVS Travel Solutions launches India’s First-Ever Private EV Bus for Employee Transfers,https://www.youtube.com/watch?v=2BPsb5bsjY8,https://img.youtube.com/vi/2BPsb5bsjY8/hqdefault.jpg,hqdefault,Employee Transport,H1,328,10,1,3.049,0.305,Video - YouTube,,,80,"YouTube video: ""NVS Travel Solutions launches India’s First-Ever Private EV Bus for Employee Transfers"" by Bangalore News Network. Segment: Employee Transport; hypothesis H1. Engagement: 328 views, 10 likes, 1 comments (like rate 3.049%).",2026-07-18T09:32:42.925838+00:00
video_032_si3I5963i9Q,video,include,,Kharghar to offices in Mumbai #stressfree #rides #commute,Cityflo,Kharghar to offices in Mumbai #stressfree #rides #commute,https://www.youtube.com/watch?v=si3I5963i9Q,https://img.youtube.com/vi/si3I5963i9Q/maxresdefault.jpg,maxresdefault,Employee Transport,H1,21190,150,,0.708,,Video - YouTube,,,75,"YouTube video: ""Kharghar to offices in Mumbai #stressfree #rides #commute"" by Cityflo. Segment: Employee Transport; hypothesis H1. Engagement: 21,190 views, 150 likes (like rate 0.708%).",2026-07-18T09:32:42.925838+00:00
video_033_n5clPDETYvQ,video,include,,This EV Startup Doesn’t Make EVs—But It’s Fixing India’s Worst Charging Problems,Earth Chakra,This EV Startup Doesn’t Make EVs—But It’s Fixing India’s Worst Charging Problems,https://www.youtube.com/watch?v=n5clPDETYvQ,https://img.youtube.com/vi/n5clPDETYvQ/maxresdefault.jpg,maxresdefault,General,H1,1195,40,12,3.347,1.004,Video - YouTube,,,75,"YouTube video: ""This EV Startup Doesn’t Make EVs—But It’s Fixing India’s Worst Charging Problems"" by Earth Chakra. Segment: General; hypothesis H1. Engagement: 1,195 views, 40 likes, 12 comments (like rate 3.347%).",2026-07-18T09:32:42.925838+00:00
video_034_mNOYS-duUJY,video,include,,EV Electrical Systems BASICS!,AEM Electronics,EV Electrical Systems BASICS!,https://www.youtube.com/watch?v=mNOYS-duUJY,https://img.youtube.com/vi/mNOYS-duUJY/maxresdefault.jpg,maxresdefault,General,H1,367392,6387,20,1.738,0.005,Video - YouTube,,,75,"YouTube video: ""EV Electrical Systems BASICS!"" by AEM Electronics. Segment: General; hypothesis H1. Engagement: 367,392 views, 6,387 likes, 20 comments (like rate 1.738%).",2026-07-18T09:32:42.925838+00:00
video_035_uxiyoL7Mavo,video,include,,Electric bus|| Electric bus charging System||  Nuego Electric Bus||Electric bus charging studio,SKY Travel Vlogs,Electric bus|| Electric bus charging System||  Nuego Electric Bus||Electric bus charging studio,https://www.youtube.com/watch?v=uxiyoL7Mavo,https://img.youtube.com/vi/uxiyoL7Mavo/maxresdefault.jpg,maxresdefault,General,H1,1443,22,1,1.525,0.069,Video - YouTube,,,75,"YouTube video: ""Electric bus|| Electric bus charging System||  Nuego Electric Bus||Electric bus charging studio"" by SKY Travel Vlogs. Segment: General; hypothesis H1. Engagement: 1,443 views, 22 likes, 1 comments (like rate 1.525%).",2026-07-18T09:32:42.925838+00:00
video_036_rclGOUMpsCs,video,include,,Top 5 Electric Buses in India 2023 - EV BRO,EV Bro,Top 5 Electric Buses in India 2023 - EV BRO,https://www.youtube.com/watch?v=rclGOUMpsCs,https://img.youtube.com/vi/rclGOUMpsCs/maxresdefault.jpg,maxresdefault,General,H1,2920,45,2,1.541,0.068,Video - YouTube,,,75,"YouTube video: ""Top 5 Electric Buses in India 2023 - EV BRO"" by EV Bro. Segment: General; hypothesis H1. Engagement: 2,920 views, 45 likes, 2 comments (like rate 1.541%).",2026-07-18T09:32:42.925838+00:00
video_037_cead9BchmzA,video,include,,Tata Starbus EV | Bharat Mobility Global Expo 2024,Tata Motors Commercial Vehicles,Tata Starbus EV | Bharat Mobility Global Expo 2024,https://www.youtube.com/watch?v=cead9BchmzA,https://img.youtube.com/vi/cead9BchmzA/maxresdefault.jpg,maxresdefault,General/OEM,H2,400839,1147,5,0.286,0.001,Video - YouTube,,,75,"YouTube video: ""Tata Starbus EV | Bharat Mobility Global Expo 2024"" by Tata Motors Commercial Vehicles. Segment: General/OEM; hypothesis H2. Engagement: 400,839 views, 1,147 likes, 5 comments (like rate 0.286%).",2026-07-18T09:32:42.925838+00:00
video_038_zsGYgpmNFJU,video,include,,Tata Ultra Ev Bus || Ev Bus In India || Electric Bus ||,Bhavishya Vats YT,Tata Ultra Ev Bus || Ev Bus In India || Electric Bus ||,https://www.youtube.com/watch?v=zsGYgpmNFJU,https://img.youtube.com/vi/zsGYgpmNFJU/maxresdefault.jpg,maxresdefault,General/OEM,H2,1246,8,,0.642,,Video - YouTube,,,75,"YouTube video: ""Tata Ultra Ev Bus || Ev Bus In India || Electric Bus ||"" by Bhavishya Vats YT. Segment: General/OEM; hypothesis H2. Engagement: 1,246 views, 8 likes (like rate 0.642%).",2026-07-18T09:32:42.925838+00:00
